GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC01_EST_VC16,HC01_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC01_EST_VC30,HC01_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC01_EST_VC41,HC01_MOE_VC41,HC01_EST_VC42,HC01_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC01_EST_VC44,HC01_MOE_VC44,HC01_EST_VC45,HC01_MOE_VC45,HC01_EST_VC46,HC01_MOE_VC46,HC01_EST_VC47,HC01_MOE_VC47,HC01_EST_VC48,HC01_MOE_VC48,HC01_EST_VC49,HC01_MOE_VC49,HC01_EST_VC50,HC01_MOE_VC50,HC01_EST_VC52,HC01_MOE_VC52,HC01_EST_VC53,HC01_MOE_VC53,HC01_EST_VC54,HC01_MOE_VC54,HC01_EST_VC55,HC01_MOE_VC55,HC01_EST_VC56,HC01_MOE_VC56,HC01_EST_VC58,HC01_MOE_VC58,HC01_EST_VC59,HC01_MOE_VC59,HC01_EST_VC60,HC01_MOE_VC60,HC01_EST_VC61,HC01_MOE_VC61,HC01_EST_VC62,HC01_MOE_VC62,HC01_EST_VC63,HC01_MOE_VC63,Filename,HC01_EST_VC29,HC01_MOE_VC29,HC01_EST_VC40,HC01_MOE_VC40,HC01_EST_VC51,HC01_MOE_VC51,HC01_EST_VC66,HC01_MOE_VC66,HC01_EST_VC67,HC01_MOE_VC67,HC01_EST_VC68,HC01_MOE_VC68,HC01_EST_VC69,HC01_MOE_VC69,HC01_EST_VC70,HC01_MOE_VC70,HC01_EST_VC71,HC01_MOE_VC71,HC01_EST_VC65,HC01_MOE_VC65,year
0500000US12057,12057,"Hillsborough County, Florida",526854,7022,89.4,1.1,79.6,1.3,9.8,0.9,7.5,0.8,1.3,0.3,0.9,0.3,1.19,0.02,1.5,0.4,2.2,0.9,0.8,0.4,1.9,0.3,4.2,0.6,99.1,0.2,88.3,0.8,10.8,0.8,0.9,0.2,86.1,1.3,29.2,1.2,56.9,1.5,13.9,1.3,NA,NA,NA,NA,NA,NA,NA,NA,504578,7831,3.6,0.5,2.5,0.5,4.2,0.5,9.1,0.7,12.5,0.9,15.2,1,12.8,1,11.8,1,5.8,0.6,22.6,1.1,10.5,1.1,13.6,1.1,14.2,1,14.9,1,7,0.6,17.4,1,7.1,0.7,8.9,0.6,6.6,0.7,26,0.6,526854,7022,3.2,0.5,24.5,1.4,49,1.6,23.4,1.5,1.8,NA,2.8,NA,3.2,NA,7.8,NA,5.1,NA,0.5,NA,/ACS_05_EST_S0801.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05
0500000US12081,12081,"Manatee County, Florida",129370,3398,91.2,1.5,77.7,2.1,13.5,1.8,9.8,1.6,1.3,0.6,2.4,1,1.2,0.02,0.5,0.3,1,0.5,0.3,0.2,1.9,0.7,5.1,1.1,98.8,0.4,70.5,2.4,28.3,2.5,1.2,0.4,46.5,2.7,11,1.9,35.5,2.6,53.5,2.7,NA,NA,NA,NA,NA,NA,NA,NA,122718,3504,1.7,0.6,2.1,0.7,5.5,1.2,8.1,1.8,12.5,1.6,14.6,1.6,16.7,2.1,10.4,1.6,7.7,1.5,20.8,2.7,13.8,2.1,12.9,1.9,17.3,2.1,14.7,1.9,7.8,1.5,18.1,2.3,4.5,1,5.9,1.1,4.9,1.4,23.4,1.1,129370,3398,2,0.8,22.1,2.5,49.5,3.4,26.4,3.4,2.4,NA,3.3,NA,4.3,NA,7.3,NA,6.1,NA,0.5,NA,/ACS_05_EST_S0801.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05
0500000US12103,12103,"Pinellas County, Florida",408739,6211,90.2,1,80.6,1.2,9.6,0.9,7.5,0.8,1.5,0.4,0.6,0.3,1.18,0.01,1.4,0.4,1.5,0.3,0.5,0.2,1.7,0.5,4.6,0.6,99,0.3,86.2,1,12.8,0.9,1,0.3,85.6,1.1,30,1.2,55.6,1.3,14.4,1.1,NA,NA,NA,NA,NA,NA,NA,NA,389940,6641,3.1,0.5,2.2,0.4,3.7,0.7,8.1,0.8,10.6,0.7,14.9,1.1,13.5,0.9,13,1.1,7.1,0.7,23.8,1.2,13.2,1.1,15.1,0.9,17.3,1.2,16.5,1,6,0.7,13.9,1,6.6,0.7,6.2,0.6,5.2,0.6,23.4,0.5,408739,6211,3.5,0.7,26.8,1.5,48.2,1.7,21.5,1.4,2.1,NA,3.1,NA,3.6,NA,7.7,NA,5.2,NA,0.4,NA,/ACS_05_EST_S0801.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05
0500000US12115,12115,"Sarasota County, Florida",147716,3823,89.9,1.7,79.8,1.8,10.1,1.9,8.3,1.8,1.4,0.6,0.4,0.3,1.18,0.02,1.1,0.5,1.6,0.6,0.8,0.3,1,0.6,5.7,1.3,98.6,0.5,82.5,2.4,16.1,2.3,1.4,0.5,81.2,2,20.1,2.2,61.2,2.8,18.8,2,NA,NA,NA,NA,NA,NA,NA,NA,139360,4082,2.9,0.8,1.6,0.5,2.9,0.8,6.6,1.3,11.7,2.1,14.5,1.6,15.7,1.9,12.3,1.6,6.8,1,25,2.4,15.7,1.9,17.9,1.8,19.7,2.3,14.9,2.1,5.9,1.3,13.1,1.6,4.5,1,4,0.9,4.4,1.5,21.1,1,147716,3823,1.7,0.8,23.7,2.5,50.2,2.9,24.3,2.7,2.3,NA,3.8,NA,4.5,NA,9.2,NA,7.4,NA,0.3,NA,/ACS_05_EST_S0801.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05
0500000US12057,12057,"Hillsborough County, Florida",561164,6839,90.6,0.6,80.9,1.1,9.6,0.9,7.7,0.8,1.1,0.3,0.8,0.2,1.17,0.01,1.4,0.3,2,0.3,0.5,0.2,1.7,0.3,3.8,0.4,99,0.2,88.9,0.7,10,0.6,1,0.2,84.5,1,28.5,1.1,56,1.3,15.5,1,NA,NA,NA,NA,NA,NA,NA,NA,539687,7249,3.2,0.4,2.6,0.3,4.3,0.5,9.2,0.8,11.7,0.8,16.4,0.7,11.8,0.7,12.2,0.8,5,0.4,23.6,1,10.6,0.7,12.3,1,15,1,15.5,0.8,7.2,0.7,16.5,0.9,7.7,0.6,8.5,0.6,6.8,0.6,26,0.4,558479,6756,2.9,0.5,25.4,1.1,46,1.5,25.7,1.2,3.3,NA,4.3,NA,4.4,NA,8.9,NA,7.3,NA,0.4,NA,/ACS_06_EST_S0801.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06
0500000US12081,12081,"Manatee County, Florida",138992,3291,91.2,1.3,81.4,1.9,9.8,1.5,7.1,1.3,2.1,0.7,0.7,0.4,1.17,0.02,0.8,0.4,0.5,0.3,0.6,0.5,2.2,0.8,4.7,0.9,99.1,0.4,71.9,2.2,27.2,2.2,0.9,0.4,48.6,2.5,11.1,1.8,37.5,2.7,51.4,2.5,NA,NA,NA,NA,NA,NA,NA,NA,132459,3375,2.4,0.7,2.8,0.9,3.8,0.8,9.5,1.5,10.8,1.5,16.7,1.9,15.3,1.9,11.5,1.9,5.6,1,21.5,1.6,13.1,1.9,12.2,1.5,16.7,1.5,18.9,2.1,7.5,1.5,16.1,2.1,6.2,1,4.4,0.9,4.9,1.2,23.2,1,138992,3291,1.8,0.7,21.3,2.5,52.3,2.8,24.6,2.4,3.3,NA,4.1,NA,4.7,NA,10.7,NA,7,NA,0.4,NA,/ACS_06_EST_S0801.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06
0500000US12103,12103,"Pinellas County, Florida",415857,6322,87.9,0.9,78.9,1.2,8.9,0.9,7.7,0.8,0.8,0.2,0.5,0.1,1.2,0.01,2,0.3,2.1,0.4,0.9,0.4,2.2,0.5,5,0.6,99.1,0.3,86.2,0.9,12.9,0.8,0.9,0.3,87.1,1.1,32.7,1.2,54.4,1.3,12.9,1.1,NA,NA,NA,NA,NA,NA,NA,NA,395125,6377,2.8,0.5,2,0.3,3.9,0.6,8.1,0.9,9.8,0.9,15.1,0.9,13,1,12.1,0.8,7.3,0.7,25.9,1.2,13.8,1,14.8,1,16.9,0.8,16.7,1,7.7,0.7,13.4,1,5.8,0.7,6.5,0.7,4.4,0.5,22.9,0.5,411262,6299,2.8,0.5,26.6,1.5,48.8,1.9,21.7,1.7,3.6,NA,4.6,NA,5.8,NA,9.1,NA,7.4,NA,0.3,NA,/ACS_06_EST_S0801.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06
0500000US12115,12115,"Sarasota County, Florida",157962,3464,88.8,1.6,77.2,2,11.6,1.7,9.5,1.5,1.4,0.5,0.8,0.4,1.21,0.02,0.6,0.4,1.6,0.5,0.8,0.4,2.1,0.9,6.2,1.1,99,0.4,83.8,1.7,15.2,1.7,1,0.4,80.8,1.8,20.4,1.9,60.3,2.6,19.2,1.8,NA,NA,NA,NA,NA,NA,NA,NA,148170,3625,3.2,1,2.1,0.8,3,0.7,7,1.1,12,1.7,13.9,1.8,14.4,1.5,12.8,1.5,6.6,1,25,1.9,17.9,1.7,16.4,1.6,17.3,1.8,15.1,1.7,6.9,1,12.2,1.4,5.4,1.1,4.8,0.9,4.1,1,21.4,1,157858,3480,2.1,0.6,24.2,1.9,49.2,3.1,24.4,2.9,4.2,NA,4.8,NA,6.7,NA,12.1,NA,10.2,NA,0.9,NA,/ACS_06_EST_S0801.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06
0500000US12057,12057,"Hillsborough County, Florida",563527,8526,89.6,0.8,80,1,9.7,0.8,6.9,0.7,1.5,0.3,1.3,0.5,1.19,0.01,1.8,0.3,1.7,0.3,0.6,0.2,1.3,0.3,5,0.6,99.3,0.2,89.2,0.7,10.2,0.7,0.7,0.2,85,1,28.8,1,56.3,1.3,15,1,NA,NA,NA,NA,NA,NA,NA,NA,535355,9163,3,0.4,2.5,0.5,3.6,0.5,10.5,0.7,11.2,0.8,16.9,1,11.6,0.8,13.7,0.8,5.1,0.6,21.9,1,9.6,0.8,11.9,0.7,15.5,0.9,16,1,6.4,0.6,16,0.8,7.8,0.6,10.4,0.8,6.3,0.7,26.1,0.5,559730,8322,2.8,0.4,24.1,1.2,48.9,1.4,24.3,1.4,2.9,NA,3.7,NA,4.1,NA,8.1,NA,7.4,NA,0.3,NA,/ACS_07_1YR_S0801.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07
0500000US12081,12081,"Manatee County, Florida",134997,3767,89.3,1.7,80,2.4,9.3,1.7,7.7,1.7,1,0.5,0.6,0.3,1.19,0.03,0.9,0.5,2.1,1.1,0.9,0.5,1.6,0.8,5.2,0.9,99.1,0.4,71.2,2.6,27.9,2.6,0.9,0.4,44.2,3.1,10.7,1.6,33.5,3,55.8,3.1,NA,NA,NA,NA,NA,NA,NA,NA,128002,3879,2.5,0.7,3.4,1,3.3,0.9,8.2,1.3,10.2,1.2,19.1,2.3,14.3,2,13.3,1.8,5.7,1.3,20,2.2,12.1,1.8,13.9,1.5,17.3,2.3,16.4,1.9,7.1,1.2,15,1.9,6.2,1.4,7.1,1.6,5.1,1.2,23.8,1.1,134997,3767,2.7,1.1,24.2,2.3,49.1,3.1,23.9,2.8,3.4,NA,4,NA,4.6,NA,7.7,NA,6.7,NA,0.7,NA,/ACS_07_1YR_S0801.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07
